filename,title,url,audit_reason,main_goal_raw,workout_type_raw,training_level_raw,days_per_week_raw,equipment_raw,target_gender_raw
workouts__3-week-nfl-combine-bench-press-program__6dfd373350.html,3 Week NFL Combine Bench Press Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-week-nfl-combine-bench-press-program,workout_type: unknown,Increase Strength,Sports Training,Intermediate,1,"Barbell, Dumbbells",Male
workouts__6-week-navy-seal-workout-routine__57574123d7.html,"6 Week Navy Seal Workout: Speed, Strength & Endurance",https://www.muscleandstrength.com/workouts/6-week-navy-seal-workout-routine,equipment: unknown,General Fitness,Full Body,Beginner,4,"Barbell, Bodyweight, Dumbbells, Foam Roll",Male & Female
workouts__abs__4c9418eb5d.html,Ab Workouts: 100+ Free Ab Workout Routines | Muscle & Strength,https://www.muscleandstrength.com/workouts/abs,all classification fields missing (index/listing page),,,,,,
workouts__back__41985f2689.html,Back Workouts: 100+ Free Back Workout Routines | Muscle & Strength,https://www.muscleandstrength.com/workouts/back,all classification fields missing (index/listing page),,,,,,
workouts__beginner__f3225fb65f.html,Beginner Workouts: 100+ Free Beginner Routines | Muscle & Strength,https://www.muscleandstrength.com/workouts/beginner,all classification fields missing (index/listing page),,,,,,
workouts__biceps__cd5effb1dd.html,Bicep Workouts: 100+ Free Bicep Workout Routines | Muscle & Strength,https://www.muscleandstrength.com/workouts/biceps,all classification fields missing (index/listing page),,,,,,
workouts__bodyweight__a6cce3d801.html,Bodyweight Workouts: Build Muscle & Burn Fat | Muscle & Strength,https://www.muscleandstrength.com/workouts/bodyweight,all classification fields missing (index/listing page),,,,,,
workouts__chest__422c541680.html,Chest Workouts: 100+ Free Chest Workout Routines | Muscle & Strength,https://www.muscleandstrength.com/workouts/chest,all classification fields missing (index/listing page),,,,,,
workouts__fat-loss__054e2229d0.html,Fat Loss Workouts: Burn Fat & Increase Muscle Tone | Muscle & Strength,https://www.muscleandstrength.com/workouts/fat-loss,all classification fields missing (index/listing page),,,,,,
workouts__fat-loss__59211fa56b.html,Fat Loss Workouts: Burn Fat & Increase Muscle Tone | Muscle & Strength,https://www.muscleandstrength.com/workouts/fat-loss,all classification fields missing (index/listing page),,,,,,
workouts__fat-loss__706559b02a.html,Fat Loss Workouts: Burn Fat & Increase Muscle Tone | Muscle & Strength,https://www.muscleandstrength.com/workouts/fat-loss,all classification fields missing (index/listing page),,,,,,
workouts__full-body__948ccd1875.html,"Full Body Workouts: Free Downloads, Plans For Men & Women",https://www.muscleandstrength.com/workouts/full-body,all classification fields missing (index/listing page),,,,,,
workouts__full-body__991ddb8ca4.html,"Full Body Workouts: Free Downloads, Plans For Men & Women",https://www.muscleandstrength.com/workouts/full-body,all classification fields missing (index/listing page),,,,,,
workouts__home__0211c9964a.html,Home Workouts: 100+ Free At-Home Workout Routines | Muscle & Strength,https://www.muscleandstrength.com/workouts/home,all classification fields missing (index/listing page),,,,,,
workouts__legs__88b9887851.html,Leg Workouts: 100+ Free Leg Workout Routines | Muscle & Strength,https://www.muscleandstrength.com/workouts/legs,all classification fields missing (index/listing page),,,,,,
workouts__men__1b6b3398bb.html,"Workouts For Men: Muscle Building, Abs, Fat Loss & More",https://www.muscleandstrength.com/workouts/men,all classification fields missing (index/listing page),,,,,,
workouts__men__7f1558ade6.html,"Workouts For Men: Muscle Building, Abs, Fat Loss & More",https://www.muscleandstrength.com/workouts/men,all classification fields missing (index/listing page),,,,,,
workouts__men__9f6b57e029.html,"Workouts For Men: Muscle Building, Abs, Fat Loss & More",https://www.muscleandstrength.com/workouts/men,all classification fields missing (index/listing page),,,,,,
workouts__men__bd1f6c073d.html,"Workouts For Men: Muscle Building, Abs, Fat Loss & More",https://www.muscleandstrength.com/workouts/men,all classification fields missing (index/listing page),,,,,,
workouts__men__ef42d60f0e.html,"Workouts For Men: Muscle Building, Abs, Fat Loss & More",https://www.muscleandstrength.com/workouts/men,all classification fields missing (index/listing page),,,,,,
workouts__muscle-building__0f588d9510.html,Muscle Building Workouts: 250+ Free Build Muscle Plans,https://www.muscleandstrength.com/workouts/muscle-building,all classification fields missing (index/listing page),,,,,,
workouts__muscle-building__47a5ff874a.html,Muscle Building Workouts: 250+ Free Build Muscle Plans,https://www.muscleandstrength.com/workouts/muscle-building,all classification fields missing (index/listing page),,,,,,
workouts__muscle-building__80275f54e2.html,Muscle Building Workouts: 250+ Free Build Muscle Plans,https://www.muscleandstrength.com/workouts/muscle-building,all classification fields missing (index/listing page),,,,,,
workouts__muscle-building__b1193f44f9.html,Muscle Building Workouts: 250+ Free Build Muscle Plans,https://www.muscleandstrength.com/workouts/muscle-building,all classification fields missing (index/listing page),,,,,,
workouts__muscle-building__b8374b020c.html,Muscle Building Workouts: 250+ Free Build Muscle Plans,https://www.muscleandstrength.com/workouts/muscle-building,all classification fields missing (index/listing page),,,,,,
workouts__other__e43129772f.html,Glute Workouts: 100+ Free Glute Workout Routines | Muscle & Strength,https://www.muscleandstrength.com/workouts/other,all classification fields missing (index/listing page),,,,,,
workouts__shoulders__52681ebb64.html,Shoulder Workouts: 100+ Free Shoulder Workout Routines | Muscle & Strength,https://www.muscleandstrength.com/workouts/shoulders,all classification fields missing (index/listing page),,,,,,
workouts__strength__6a403a8fa8.html,"Strength Workouts: 5x5, Powerlifting, Full-Body & More | Muscle & Strength",https://www.muscleandstrength.com/workouts/strength,all classification fields missing (index/listing page),,,,,,
workouts__the-best-15-minute-warm-up__679031499a.html,The Best 15-Minute Warm-Ups | Muscle & Strength,https://www.muscleandstrength.com/workouts/the-best-15-minute-warm-up,equipment: unknown,General Fitness,Split,Beginner,7,"Bands, Barbell, Bodyweight, Foam Roll, Kettle Bells, Other",Male & Female
workouts__triceps__e38412dd98.html,Tricep Workouts: 100+ Free Tricep Workout Routines | Muscle & Strength,https://www.muscleandstrength.com/workouts/triceps,all classification fields missing (index/listing page),,,,,,
workouts__women__7986cd534a.html,Workouts For Women: 100+ Free Womens Workouts | Muscle & Strength,https://www.muscleandstrength.com/workouts/women,all classification fields missing (index/listing page),,,,,,
workouts__women__c2c35c5a4b.html,Workouts For Women: 100+ Free Womens Workouts | Muscle & Strength,https://www.muscleandstrength.com/workouts/women,all classification fields missing (index/listing page),,,,,,
